               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.037996,            0.014511,           0.0003022,             0.67552,             0.64504,             0.65494,             0.36333,            0.042867,           0.0064442,           0.0002387,            0.008845,            0.008845,            0.008845
                  37,            0.037748,            0.014535,          0.00026422,             0.68943,              0.5687,             0.62922,             0.32569,            0.043194,           0.0065339,          0.00024164,            0.008812,            0.008812,            0.008812
                  38,            0.036613,             0.01401,          0.00030055,             0.66822,              0.6145,             0.64157,             0.35977,            0.042895,            0.006475,          0.00022942,            0.008779,            0.008779,            0.008779
                  39,            0.036741,            0.014237,          0.00025978,             0.66928,             0.69516,             0.68803,             0.34678,            0.043126,           0.0063135,          0.00021568,            0.008746,            0.008746,            0.008746
                  40,            0.037378,            0.014165,          0.00027462,             0.71729,             0.60041,             0.65805,             0.35579,             0.04392,           0.0064802,          0.00023919,            0.008713,            0.008713,            0.008713
                  41,            0.036126,            0.014117,          0.00027509,             0.68209,             0.63874,             0.63347,             0.31946,            0.044172,           0.0066814,          0.00022116,             0.00868,             0.00868,             0.00868
                  42,            0.036714,            0.014152,          0.00028474,             0.64799,             0.63937,             0.65911,             0.36094,            0.042148,           0.0065384,           0.0002386,            0.008647,            0.008647,            0.008647
                  43,            0.036091,            0.014095,          0.00025063,             0.65827,             0.60305,             0.63585,             0.32017,             0.04442,           0.0065495,          0.00021135,            0.008614,            0.008614,            0.008614
                  44,            0.036368,            0.013883,          0.00026049,             0.73392,             0.59924,             0.65285,             0.35527,            0.043963,           0.0065057,          0.00022842,            0.008581,            0.008581,            0.008581
                  45,            0.035694,            0.014435,          0.00028976,             0.67671,             0.69506,             0.69621,             0.36219,             0.04261,           0.0063651,           0.0002123,            0.008548,            0.008548,            0.008548
                  46,            0.035828,            0.013823,          0.00024188,             0.70873,             0.62223,             0.65911,             0.36485,            0.042556,           0.0064577,          0.00019109,            0.008515,            0.008515,            0.008515
                  47,            0.036329,            0.013833,          0.00025592,              0.6931,             0.62926,             0.64164,             0.35111,            0.042611,           0.0063235,          0.00020595,            0.008482,            0.008482,            0.008482
                  48,            0.035839,            0.013767,          0.00025827,               0.721,             0.62977,             0.67447,             0.35291,            0.042351,           0.0064508,          0.00023297,            0.008449,            0.008449,            0.008449
                  49,            0.034279,            0.013731,           0.0002513,             0.67942,             0.64504,             0.68273,             0.36042,            0.042106,           0.0065115,          0.00019652,            0.008416,            0.008416,            0.008416
                  50,            0.035666,            0.014115,          0.00024011,             0.73058,             0.58015,             0.66376,             0.36258,            0.042823,           0.0064383,           0.0001962,            0.008383,            0.008383,            0.008383
                  51,            0.034966,            0.013831,          0.00025022,             0.74807,             0.62214,              0.6839,              0.3687,            0.042344,           0.0065364,          0.00019231,             0.00835,             0.00835,             0.00835
                  52,            0.035321,            0.013802,          0.00023809,              0.7685,             0.62085,             0.68753,             0.38696,             0.04256,             0.00622,          0.00019714,            0.008317,            0.008317,            0.008317
                  53,            0.034152,            0.013617,          0.00022922,             0.67762,             0.71401,             0.69158,              0.3783,            0.041537,           0.0063618,           0.0001815,            0.008284,            0.008284,            0.008284
                  54,            0.034618,            0.013842,          0.00023924,             0.69759,             0.69847,             0.70871,             0.39999,            0.041192,           0.0062913,          0.00019126,            0.008251,            0.008251,            0.008251
                  55,            0.033125,            0.013654,          0.00023481,             0.72784,             0.60687,             0.66981,             0.35618,            0.042238,           0.0064491,          0.00019597,            0.008218,            0.008218,            0.008218
                  56,            0.034333,            0.013903,          0.00022754,             0.65279,             0.64885,             0.62901,             0.35011,            0.042358,           0.0064637,          0.00018902,            0.008185,            0.008185,            0.008185
                  57,             0.03401,            0.013981,          0.00022883,             0.64867,             0.63424,             0.67548,             0.38771,            0.042162,           0.0064214,          0.00018827,            0.008152,            0.008152,            0.008152
